index,dataset,tweet,label,prediction,probability
9,semeval_ds,@USER easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen  good enough #gutted,0,1,0.6362485
44,semeval_ds,Your friends will bring you down because they fucked up what they had males & females  me fool !,0,1,0.5861483
42,semeval_ds,Jimi Agbaje is a fine man ... in respect to public service what notable landmark has he achieved ?  Tested | Jimi ... HTTPURL,0,1,0.843046
61,semeval_ds,@USER @USER | Its @USER bcoz he is so #Nasty and loves his  ... | | #GoSupersonicQuikr,0,1,0.7362822
13,semeval_ds,It 's all about Twitter  a clue,0,1,0.9483069
16,semeval_ds,"#SteveHarvey worships #Obama b / c he does n't research , then calls every 1 else ignorant . #Fuck this guy . HTTPURL  #Idiot",0,1,0.8697825
36,semeval_ds,Damned if you do ... HTTPURL #communication #truth  via @USER,0,1,0.76430094
39,semeval_ds,@USER they 've spread their positions off with long feeder cattle ! ,0,1,0.9792459
41,semeval_ds,I dont understand tlist as I dont read inamorata I only read inamorato lmao #sorry or prob  lol,0,1,0.93571645
65,semeval_ds,@USER @USER @USER please reply to this gentleman on behalf of all of us here @USER #jokles  #gotrealworktodo,0,1,0.71324664
22,semeval_ds,"Coin ! erraji : "" ZeeGingaNinja : because it seems that some people here need this clarification #sydneysiege  ... HTTPURL """,0,1,0.86628306
26,semeval_ds,@USER this Friday  lit,0,1,0.9606185
32,semeval_ds,"Take me to church ... , . ",0,1,0.97303843
57,semeval_ds,@USER @USER @USER problem solved no more reading out at FMQ what someone at WM wrote ,0,1,0.9610135
6,semeval_ds,Woohoo admitting someone who literally needs nothing but med refills !  HTTPURL,0,1,0.9733046
17,semeval_ds,We all have them people on Instagram who put the most pointless hashtags #Can #you ,0,1,0.9770997
59,semeval_ds,"But instead , I 'm scrolling through Facebook , Instagram , and Twitter for hours on end , accomplishing nothing . ",0,1,0.9780864
